epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
123,5490.9,0.27396,0.26707,0.78513,0.5978,0.49394,0.50397,0.49338,0.29457,0.27964,0.75605,3.13628e-05,3.13628e-05,3.13628e-05
124,5576.23,0.25878,0.25376,0.77836,0.59765,0.49394,0.50598,0.49378,0.29401,0.27593,0.75737,3.03002e-05,3.03002e-05,3.03002e-05
125,5661.48,0.25735,0.25436,0.7814,0.59829,0.49394,0.49491,0.47952,0.31456,0.28081,0.75814,2.92376e-05,2.92376e-05,2.92376e-05
126,5746.43,0.25971,0.25325,0.7831,0.59843,0.49394,0.49492,0.48503,0.29778,0.27574,0.75728,2.8175e-05,2.8175e-05,2.8175e-05
127,5831.73,0.26474,0.25144,0.78589,0.49838,0.49394,0.49496,0.48526,0.28088,0.26841,0.75574,2.71124e-05,2.71124e-05,2.71124e-05
128,5921.26,0.27736,0.26096,0.78374,0.49868,0.49626,0.4952,0.47812,0.31493,0.27444,0.75805,2.60498e-05,2.60498e-05,2.60498e-05
129,6006.18,0.26404,0.25167,0.78625,0.59867,0.49617,0.49526,0.48623,0.30231,0.26805,0.75729,2.49872e-05,2.49872e-05,2.49872e-05
130,6093.2,0.27872,0.26768,0.79549,0.59824,0.49394,0.49502,0.47991,0.29871,0.26725,0.75632,2.39246e-05,2.39246e-05,2.39246e-05
131,6180,0.25885,0.25446,0.78904,0.59807,0.4962,0.50768,0.49066,0.30297,0.27132,0.75522,2.2862e-05,2.2862e-05,2.2862e-05
132,6265.18,0.25802,0.2512,0.79162,0.59845,0.49618,0.50946,0.49387,0.28124,0.26612,0.75548,2.17994e-05,2.17994e-05,2.17994e-05
133,6354.62,0.26615,0.2585,0.78436,0.59894,0.49611,0.51164,0.50177,0.25443,0.26221,0.75433,2.07368e-05,2.07368e-05,2.07368e-05
134,6439.82,0.24457,0.24143,0.78621,0.59876,0.49618,0.51511,0.49968,0.29677,0.27838,0.75603,1.96742e-05,1.96742e-05,1.96742e-05
135,6525.68,0.26337,0.24934,0.7851,0.5983,0.49629,0.5043,0.48294,0.31276,0.26989,0.75587,1.86116e-05,1.86116e-05,1.86116e-05
136,6613.3,0.23807,0.23684,0.78799,0.59835,0.49626,0.4952,0.48805,0.25636,0.26148,0.75428,1.7549e-05,1.7549e-05,1.7549e-05
137,6698.72,0.25174,0.24776,0.78516,0.59851,0.4963,0.49526,0.48941,0.26714,0.26718,0.75497,1.64864e-05,1.64864e-05,1.64864e-05
138,6786.54,0.25478,0.2624,0.78821,0.59849,0.49633,0.49529,0.47916,0.30303,0.27864,0.75458,1.54238e-05,1.54238e-05,1.54238e-05
139,6872.44,0.25861,0.27868,0.79043,0.59844,0.49628,0.50772,0.48996,0.27232,0.27237,0.75334,1.43612e-05,1.43612e-05,1.43612e-05
